cycle,N,Nm,Nf,g,pi,mean_fitness,mean_froh,B,het,m2_ind,m3_ind,m4_ind,m5_ind,m6_ind
107000,32508,10028,7258,2.14671,0.000186574,0.490984,0.00515634,0.0240572,0.000186571,118.753,1.56626,0.687154,0.127046,0.0150425
108000,35781,10915,8057,2.13399,0.000187369,0.457867,0.00492797,0.0292975,0.000187366,119.259,1.55323,0.636483,0.171348,0.0155949
109000,36980,11392,8377,2.15251,0.000188247,0.611475,0.00492835,0.0250421,0.000188244,122.047,1.59573,0.827069,0.120849,0.0117361
110000,32902,10157,7308,2.12831,0.000189056,0.425138,0.00461528,0.0236072,0.000189053,126.727,1.42195,0.814175,0.114674,0.00954349
111000,35190,10842,7916,2.14346,0.000189861,0.544936,0.00440447,0.0198246,0.000189858,127.01,1.50267,0.725973,0.0860188,0.00798522
112000,33412,10437,7379,2.14066,0.000190603,0.493387,0.00470479,0.0187925,0.0001906,126.776,1.45328,0.690261,0.10173,0.00380103
113000,29971,9131,6742,2.13866,0.000191308,0.363811,0.00461626,0.0297848,0.000191305,127.378,1.55994,0.648527,0.189383,0.0133129
114000,27040,8568,6064,2.13963,0.000192207,0.412756,0.00445848,0.022913,0.000192204,128.595,1.64686,0.51605,0.147707,0.00931953
115000,44725,13758,10118,2.13302,0.000192864,0.652541,0.00450602,0.0302075,0.000192862,130.463,1.54607,0.734131,0.175048,0.0160313
116000,37926,11800,8444,2.13965,0.00019365,0.495916,0.00441524,0.0258707,0.000193648,129.459,1.73084,0.773665,0.148763,0.0101777
117000,27480,8373,6197,2.12539,0.000194579,0.449397,0.0045877,0.0272651,0.000194576,132.181,1.81779,0.718523,0.142103,0.0137191
118000,30856,9681,6819,2.14988,0.000195275,0.413638,0.0049656,0.0225579,0.000195272,131.528,1.93327,0.832156,0.113981,0.00606041
119000,31104,9561,6953,2.15266,0.000195906,0.481737,0.00523208,0.0203156,0.000195903,131.646,1.74836,0.789223,0.118377,0.00340792
120000,31480,9465,7105,2.13223,0.00019667,0.427071,0.00542274,0.0262296,0.000196667,130.669,1.47414,0.868964,0.153018,0.0112452
121000,26536,7982,6060,2.1336,0.000197278,0.403761,0.00508853,0.0336848,0.000197274,131.958,1.32126,0.855442,0.209677,0.0169581
122000,30795,9518,6974,2.14583,0.00019791,0.379916,0.00546079,0.0246995,0.000197907,132.532,1.49839,0.786102,0.133561,0.0084754
123000,26434,8238,5977,2.15864,0.000198669,0.409346,0.0057065,0.0218149,0.000198665,132.371,1.56874,0.614966,0.122494,0.00612847
124000,28894,8927,6568,2.1274,0.000199514,0.48446,0.00514689,0.0225071,0.00019951,132.195,1.72544,0.593756,0.121617,0.00681802
125000,28965,8891,6485,2.13651,0.000200168,0.403161,0.00532547,0.0211784,0.000200165,133.635,1.68148,0.535854,0.138961,0.00939064
