34166,750.752,745,417,3.08725,R1
34167,640.417,739,417,4.0866,R1
34168,585.113,624,363,5.08013,R1
34169,600.312,590,350,6.0661,R1
34170,735.763,584,350,7.05308,R1
34171,611.881,580,346,8.01207,R1
34172,669.697,572,340,8.94231,R1
34173,688.87,561,336,9.86275,R1
34174,794.311,544,322,10.7647,R1
34175,720.906,510,298,11.6157,R1
34176,717.609,427,258,12.3466,R1
34177,637.872,279,168,13.0,R1
34164,630.589,840,474,2.12262,R1
34165,630.618,622,353,2.11897,R1
34166,794.332,617,353,3.11507,R1
34167,663.467,617,353,4.11507,R1
34168,723.738,616,353,5.10065,R1
34169,733.814,616,353,6.10065,R1
34170,755.672,616,353,7.10065,R1
34171,750.654,608,347,8.02303,R1
34172,716.896,605,345,8.99835,R1
34164,345.12,840,474,2.12262,R1
34164,835.639,840,474,2.12262,R1
34165,816.347,824,463,2.10801,R1
34166,931.895,807,462,3.09913,R1
34167,944.564,807,462,4.09913,R1
34168,909.051,806,462,5.08809,R1
34169,959.318,804,462,6.06841,R1
34170,1064.65,802,461,7.05112,R1
34171,858.457,798,457,8.0213,R1
34172,908.013,791,453,8.97724,R1
34173,904.402,778,449,9.91003,R1
34174,861.571,745,428,10.7732,R1
34175,966.524,701,399,11.6334,R1
34164,645.801,840,474,2.12262,R1
34165,743.222,636,359,2.09591,R1
34166,630.123,635,358,3.07874,R1
34167,755.493,625,358,4.0688,R1
34168,750.919,625,358,5.0688,R1
34169,804.484,623,357,6.04334,R1
34170,770.952,623,357,7.04334,R1
34171,749.342,622,356,8.03376,R1
34172,637.887,616,351,8.98539,R1
34173,628.87,600,344,9.87833,R1
34164,718.492,840,474,2.12262,R1
34165,852.417,659,368,2.08042,R1
34166,662.283,658,367,3.06383,R1
34167,574.312,649,367,4.06163,R1
34164,646.069,840,474,2.12262,R1
34165,584.704,687,377,2.05531,R1
34164,633.836,840,474,2.12262,R1
34165,806.924,607,340,2.07414,R1
34166,594.927,607,340,3.07414,R1
34164,678.036,840,474,2.12262,R1
34165,714.297,666,386,2.04204,R1
34166,664.09,666,386,3.04204,R1
34167,744.523,656,386,4.03963,R1
